	Photo Date	Lat	Lon	Geographic Name	Features Identified Manually	Focal Length (mm)	Features Identified by Machine Learning	Record Type
ISS061-E-133023	20200118	49.6	12.5			50		Not Cataloged
ISS061-E-133024	20200118	49.6	12.5			50		Not Cataloged
ISS061-E-131018	20200116	29.3	-15.1			28	PAN-	Not Cataloged
ISS061-E-131019	20200116	29.4	-15.0			28	PAN-	Not Cataloged
ISS061-E-131020	20200116	30.7	-13.6			28		Not Cataloged
ISS061-E-131021	20200116	30.7	-13.6			28		Not Cataloged
ISS061-E-131022	20200116	30.8	-13.5			28		Not Cataloged
ISS061-E-131023	20200116	33.4	-10.4			28		Not Cataloged
ISS061-E-131024	20200116	33.5	-10.4			28		Not Cataloged
ISS061-E-131025	20200116	33.5	-10.3			28		Not Cataloged
ISS061-E-131026	20200116	34.6	-8.9			28		Not Cataloged
ISS061-E-131027	20200116	34.7	-8.9			28		Not Cataloged
ISS061-E-131028	20200116	34.8	-8.6			28		Not Cataloged
ISS061-E-131029	20200116	35.5	-7.7			28		Not Cataloged
ISS061-E-131030	20200116	35.6	-7.6			28		Not Cataloged
ISS061-E-131031	20200116	36.6	-6.2			28		Not Cataloged
ISS061-E-131032	20200116	36.7	-6.2			28		Not Cataloged
ISS061-E-131033	20200116	37.0	-5.6			28		Not Cataloged
ISS061-E-131034	20200116	38.1	-4.0			28		Not Cataloged
ISS061-E-131035	20200116	38.4	-3.6			28		Not Cataloged
ISS061-E-131036	20200116	38.5	-3.5			28		Not Cataloged
ISS061-E-131037	20200116	38.5	-3.4			28		Not Cataloged
ISS061-E-131038	20200116	38.6	-3.4			28		Not Cataloged
ISS061-E-131039	20200116	39.2	-2.4			28		Not Cataloged
ISS061-E-131040	20200116	39.2	-2.4			28		Not Cataloged
ISS061-E-131041	20200116	39.7	-1.5			28		Not Cataloged
ISS061-E-131042	20200116	39.8	-1.4			28		Not Cataloged
ISS061-E-131043	20200116	40.3	-.5			28		Not Cataloged
ISS061-E-131044	20200116	40.4	-.4			28		Not Cataloged
ISS061-E-131045	20200116	41.0	.6			28		Not Cataloged
ISS061-E-131046	20200116	41.0	.7			28		Not Cataloged
ISS061-E-131047	20200116	41.2	1.0			28		Not Cataloged
ISS061-E-131048	20200116	41.2	1.1			28		Not Cataloged
ISS061-E-131049	20200116	41.6	1.8			28		Not Cataloged
ISS061-E-131050	20200116	41.7	1.9			28		Not Cataloged
ISS061-E-131051	20200116	41.7	2.0			28		Not Cataloged
ISS061-E-131052	20200116	41.8	2.0			28		Not Cataloged
ISS061-E-131053	20200116	42.8	4.0			28		Not Cataloged
ISS061-E-131054	20200116	43.0	4.4			28		Not Cataloged
ISS061-E-131055	20200116	43.0	4.5			28		Not Cataloged
ISS061-E-131056	20200116	43.7	5.9			28		Not Cataloged
ISS061-E-131057	20200116	44.1	6.9			28		Not Cataloged
ISS061-E-131058	20200116	44.2	7.0			28		Not Cataloged
ISS061-E-131059	20200116	44.2	7.0			28		Not Cataloged
ISS061-E-131060	20200116	46.0	11.5			28	PAN-	Not Cataloged
ISS061-E-131061	20200116	46.1	11.6			28		Not Cataloged
ISS061-E-131062	20200116	46.1	11.7			28		Not Cataloged
ISS061-E-131063	20200116	46.4	12.4			28		Not Cataloged
ISS061-E-131064	20200116	47.1	14.6			28		Not Cataloged
ISS061-E-131065	20200116	47.4	15.4			28		Not Cataloged
ISS061-E-131066	20200116	47.4	15.5			28		Not Cataloged
ISS061-E-131067	20200116	47.4	15.6			28		Not Cataloged
ISS061-E-131068	20200116	47.4	15.6			28	PAN-	Not Cataloged
ISS061-E-131092	20200116	29.0	-15.4			50		Not Cataloged
ISS061-E-131093	20200116	29.0	-15.4			50		Not Cataloged
ISS061-E-131094	20200116	29.0	-15.4			50		Not Cataloged
ISS061-E-131095	20200116	29.0	-15.4			50		Not Cataloged
ISS061-E-131096	20200116	29.1	-15.3			50		Not Cataloged
ISS061-E-131097	20200116	29.1	-15.3			50		Not Cataloged
ISS061-E-131098	20200116	29.2	-15.2			50		Not Cataloged
ISS061-E-131099	20200116	29.3	-15.1			50		Not Cataloged
ISS061-E-131100	20200116	29.4	-15.0			50		Not Cataloged
ISS061-E-131101	20200116	30.5	-13.8			50		Not Cataloged
ISS061-E-131102	20200116	31.2	-13.0			50		Not Cataloged
ISS061-E-131103	20200116	31.3	-12.9			50		Not Cataloged
ISS061-E-131104	20200116	31.4	-12.8			50		Not Cataloged
ISS061-E-131105	20200116	32.3	-11.8			50		Not Cataloged
ISS061-E-131106	20200116	32.4	-11.7			50		Not Cataloged
ISS061-E-131107	20200116	32.4	-11.6			50		Not Cataloged
ISS061-E-131108	20200116	32.5	-11.5			50		Not Cataloged
ISS061-E-131109	20200116	32.7	-11.3			50		Not Cataloged
ISS061-E-131110	20200116	33.5	-10.4			50		Not Cataloged
ISS061-E-131111	20200116	34.0	-9.7			50		Not Cataloged
ISS061-E-131112	20200116	34.4	-9.1			50		Not Cataloged
ISS061-E-131113	20200116	35.1	-8.3			50		Not Cataloged
ISS061-E-131114	20200116	35.3	-8.0			50		Not Cataloged
ISS061-E-131115	20200116	35.9	-7.2			50		Not Cataloged
ISS061-E-131116	20200116	36.2	-6.8			50		Not Cataloged
ISS061-E-131117	20200116	36.3	-6.7			50		Not Cataloged
ISS061-E-131118	20200116	36.9	-5.9			50		Not Cataloged
ISS061-E-131119	20200116	37.2	-5.3			50		Not Cataloged
ISS061-E-131120	20200116	37.3	-5.3			50		Not Cataloged
ISS061-E-131121	20200116	37.3	-5.2			50		Not Cataloged
ISS061-E-131122	20200116	37.4	-5.2			50		Not Cataloged
ISS061-E-131123	20200116	37.4	-5.1			50		Not Cataloged
ISS061-E-131124	20200116	37.8	-4.5			50		Not Cataloged
ISS061-E-131125	20200116	38.0	-4.3			50		Not Cataloged
ISS061-E-131126	20200116	38.8	-3.1			50		Not Cataloged
ISS061-E-131127	20200116	39.7	-1.6			50		Not Cataloged
ISS061-E-131128	20200116	40.0	-1.0			50		Not Cataloged
ISS061-E-131129	20200116	40.7	.2			50		Not Cataloged
ISS061-E-131130	20200116	41.1	.8			50		Not Cataloged
ISS061-E-131131	20200116	41.1	.9			50		Not Cataloged
ISS061-E-131132	20200116	41.2	1.0			50		Not Cataloged
ISS061-E-131133	20200116	41.2	1.1			50		Not Cataloged
ISS061-E-131134	20200116	41.8	2.2			50		Not Cataloged
ISS061-E-131135	20200116	42.4	3.2			50		Not Cataloged
ISS061-E-131136	20200116	42.4	3.3			50		Not Cataloged
ISS061-E-131137	20200116	42.5	3.5			50		Not Cataloged
ISS061-E-131138	20200116	42.6	3.8			50		Not Cataloged
ISS061-E-131139	20200116	43.2	4.8			50		Not Cataloged
ISS061-E-131140	20200116	43.3	5.2			50		Not Cataloged
ISS061-E-131141	20200116	43.4	5.2			50		Not Cataloged
ISS061-E-131142	20200116	43.4	5.4			50		Not Cataloged
ISS061-E-131143	20200116	43.5	5.6			50		Not Cataloged
ISS061-E-131144	20200116	43.6	5.8			50		Not Cataloged
ISS061-E-131145	20200116	43.7	6.0			50		Not Cataloged
ISS061-E-131146	20200116	43.9	6.3			50		Not Cataloged
ISS061-E-131147	20200116	44.4	7.5			50		Not Cataloged
ISS061-E-131148	20200116	44.9	8.6			50		Not Cataloged
ISS061-E-131149	20200116	44.9	8.8			50		Not Cataloged
ISS061-E-131150	20200116	45.0	9.0			50		Not Cataloged
ISS061-E-131151	20200116	45.2	9.5			50		Not Cataloged
ISS061-E-131152	20200116	45.3	9.7			50		Not Cataloged
ISS061-E-131153	20200116	45.5	10.2			50		Not Cataloged
ISS061-E-131154	20200116	46.0	11.4			50		Not Cataloged
ISS061-E-131155	20200116	46.3	12.3			50		Not Cataloged
ISS061-E-131156	20200116	46.5	12.8			50		Not Cataloged
ISS061-E-131157	20200116	46.9	13.8			50		Not Cataloged
ISS061-E-131158	20200116	46.9	14.0			50		Not Cataloged
ISS061-E-131159	20200116	47.1	14.5			50		Not Cataloged
ISS061-E-131160	20200116	47.1	14.6			50		Not Cataloged
ISS061-E-131161	20200116	47.2	14.8			50		Not Cataloged
ISS061-E-131162	20200116	47.3	15.1			50		Not Cataloged
ISS061-E-131163	20200116	47.6	16.0			50		Not Cataloged
ISS061-E-131164	20200116	47.9	17.1			50		Not Cataloged
ISS061-E-131165	20200116	47.9	17.2			50		Not Cataloged
ISS061-E-131166	20200116	48.0	17.3			50		Not Cataloged
ISS061-E-131167	20200116	48.0	17.5			50		Not Cataloged
ISS061-E-131168	20200116	48.0	17.6			50		Not Cataloged
ISS061-E-131169	20200116	48.1	17.9			50		Not Cataloged
ISS061-E-131170	20200116	48.2	18.0			50		Not Cataloged
ISS061-E-131171	20200116	48.4	18.9			50		Not Cataloged
ISS061-E-131172	20200116	48.4	19.0			50		Not Cataloged
ISS061-E-131173	20200116	48.5	19.1			50		Not Cataloged
ISS061-E-131174	20200116	48.5	19.2			50		Not Cataloged
ISS061-E-131175	20200116	48.5	19.3			50		Not Cataloged
ISS061-E-131177	20200116	49.2	22.0			50		Not Cataloged
ISS061-E-121266	20200109	28.9	13.3			50	PAN-	Not Cataloged
ISS061-E-121267	20200109	29.1	13.5			50		Not Cataloged
ISS061-E-121268	20200109	29.4	13.8			50	PAN-	Not Cataloged
ISS061-E-121269	20200109	29.6	14.0			50	PAN-	Not Cataloged
ISS061-E-121270	20200109	29.8	14.2			50		Not Cataloged
ISS061-E-121271	20200109	29.8	14.3			50		Not Cataloged
ISS061-E-121272	20200109	29.9	14.4			50	PAN-	Not Cataloged
ISS061-E-121273	20200109	30.0	14.5			50	PAN-	Not Cataloged
ISS061-E-121274	20200109	30.1	14.5			50	PAN-	Not Cataloged
ISS061-E-121275	20200109	30.3	14.7			50	PAN-	Not Cataloged
ISS061-E-121276	20200109	30.3	14.8			50	PAN-	Not Cataloged
ISS061-E-121277	20200109	30.5	15.0			50		Not Cataloged
ISS061-E-121278	20200109	31.2	15.7			50		Not Cataloged
ISS061-E-121279	20200109	31.2	15.8			50	PAN-	Not Cataloged
ISS061-E-121280	20200109	31.2	15.8			50		Not Cataloged
ISS061-E-121281	20200109	31.4	16.0			50	PAN-	Not Cataloged
ISS061-E-121282	20200109	31.5	16.1			50	PAN-	Not Cataloged
ISS061-E-121283	20200109	31.5	16.1			50	PAN-	Not Cataloged
ISS061-E-121284	20200109	31.6	16.2			50		Not Cataloged
ISS061-E-121285	20200109	32.4	17.1			50		Not Cataloged
ISS061-E-121286	20200109	32.4	17.1			50	PAN-	Not Cataloged
ISS061-E-121287	20200109	32.4	17.2			50		Not Cataloged
ISS061-E-121288	20200109	32.7	17.5			50	PAN-	Not Cataloged
ISS061-E-121289	20200109	32.8	17.6			50		Not Cataloged
ISS061-E-121290	20200109	32.8	17.7			50	PAN-	Not Cataloged
ISS061-E-121291	20200109	32.9	17.7			50		Not Cataloged
ISS061-E-121292	20200109	33.2	18.1			50		Not Cataloged
ISS061-E-121293	20200109	34.8	20.2			50		Not Cataloged
ISS061-E-121294	20200109	47.5	44.7			50	PAN-	Not Cataloged
ISS061-E-121295	20200109	47.6	44.9			50	PAN-	Not Cataloged
ISS061-E-121296	20200109	47.8	45.7			50	PAN-	Not Cataloged
ISS061-E-121297	20200109	47.9	46.0			50		Not Cataloged
ISS061-E-121298	20200109	48.2	47.0			50		Not Cataloged
ISS061-E-120649	20200107	45.9	-1.7			400		Not Cataloged
ISS061-E-120650	20200107	46.2	-.9			400		Not Cataloged
ISS061-E-120651	20200107	46.8	.8			400		Not Cataloged
ISS061-E-120652	20200107	46.9	1.1			400		Not Cataloged
ISS061-E-120653	20200107	47.1	1.9			400		Not Cataloged
ISS061-E-120654	20200107	47.2	2.0			400		Not Cataloged
ISS061-E-120655	20200107	47.4	2.6			400		Not Cataloged
ISS061-E-120656	20200107	47.6	3.4			400		Not Cataloged
ISS061-E-120781	20200107	48.8	7.5			50		Not Cataloged
ISS061-E-120782	20200107	49.2	9.2			50		Not Cataloged
ISS061-E-118077	20200104	33.6	35.8			400		Not Cataloged
ISS061-E-118078	20200104	33.8	36.0			400		Not Cataloged
ISS061-E-118079	20200104	33.8	36.1			400		Not Cataloged
ISS061-E-118080	20200104	34.1	36.5			400		Not Cataloged
ISS061-E-118081	20200104	34.2	36.6			400		Not Cataloged
ISS061-E-118082	20200104	34.3	36.7			400		Not Cataloged
ISS061-E-118083	20200104	34.3	36.7			400		Not Cataloged
ISS061-E-118084	20200104	34.5	37.0			400		Not Cataloged
ISS061-E-118085	20200104	34.8	37.4			400		Not Cataloged
ISS061-E-118086	20200104	34.9	37.5			400		Not Cataloged
ISS061-E-118087	20200104	35.1	37.7			400		Not Cataloged
ISS061-E-118088	20200104	35.2	37.8			400		Not Cataloged
ISS061-E-118089	20200104	35.3	38.0			400		Not Cataloged
ISS061-E-118090	20200104	35.4	38.1			400		Not Cataloged
ISS061-E-118091	20200104	35.5	38.2			400		Not Cataloged
ISS061-E-118092	20200104	35.5	38.3			400		Not Cataloged
ISS061-E-118093	20200104	35.7	38.5			400		Not Cataloged
ISS061-E-118094	20200104	35.8	38.7			400		Not Cataloged
ISS061-E-118095	20200104	35.9	38.8			400		Not Cataloged
ISS061-E-118096	20200104	36.0	38.9			400		Not Cataloged
ISS061-E-118097	20200104	38.7	42.9			400		Not Cataloged
ISS061-E-118098	20200104	38.9	43.1			400		Not Cataloged
ISS061-E-118099	20200104	39.1	43.4			400		Not Cataloged
ISS061-E-118100	20200104	39.5	44.1			400		Not Cataloged
ISS061-E-118101	20200104	39.5	44.2			400		Not Cataloged
ISS061-E-118102	20200104	39.8	44.7			400		Not Cataloged
ISS061-E-118103	20200104	40.3	45.5			400		Not Cataloged
ISS061-E-118104	20200104	40.4	45.7			400		Not Cataloged
ISS061-E-118105	20200104	40.5	45.8			400		Not Cataloged
ISS061-E-118106	20200104	40.6	45.9			400		Not Cataloged
ISS061-E-118107	20200104	40.6	46.0			400		Not Cataloged
ISS061-E-118108	20200104	40.7	46.2			400		Not Cataloged
ISS061-E-118109	20200104	40.8	46.3			400		Not Cataloged
ISS061-E-118110	20200104	41.4	47.4			400		Not Cataloged
ISS061-E-111043	20191230	28.9	47.7			50		Not Cataloged
ISS061-E-111044	20191230	29.1	47.9			50		Not Cataloged
ISS061-E-111045	20191230	29.1	48.0			50		Not Cataloged
ISS061-E-111046	20191230	29.2	48.0			50		Not Cataloged
ISS061-E-111047	20191230	29.3	48.1			50		Not Cataloged
ISS061-E-111048	20191230	29.4	48.2			50		Not Cataloged
ISS061-E-110451	20191229	33.7	41.2			50	PAN-	Not Cataloged
ISS061-E-110452	20191229	33.8	41.3			50	PAN-	Not Cataloged
ISS061-E-110453	20191229	34.0	41.5			50	PAN-	Not Cataloged
ISS061-E-110454	20191229	34.1	41.6			50	PAN-	Not Cataloged
ISS061-E-110455	20191229	34.2	41.8			50	PAN-	Not Cataloged
ISS061-E-110456	20191229	34.3	41.9			50	PAN-	Not Cataloged
ISS061-E-110457	20191229	34.5	42.2			50	PAN-	Not Cataloged
ISS061-E-110458	20191229	37.0	45.5			50	PAN-	Not Cataloged
ISS061-E-110459	20191229	37.1	45.7			50	PAN-	Not Cataloged
ISS061-E-110460	20191229	37.3	46.0			50	PAN-	Not Cataloged
ISS061-E-110461	20191229	37.5	46.2			50	PAN-	Not Cataloged
ISS061-E-110462	20191229	37.6	46.4			50	PAN-	Not Cataloged
ISS061-E-110463	20191229	37.8	46.7			50	PAN-	Not Cataloged
ISS061-E-110464	20191229	38.0	47.0			50	PAN-	Not Cataloged
ISS061-E-110465	20191229	38.1	47.2			50	PAN-	Not Cataloged
ISS061-E-68309	20191207	39.7	9.0			400		Not Cataloged
ISS061-E-68310	20191207	39.6	9.1			400		Not Cataloged
ISS061-E-68311	20191207	39.4	9.4			400		Not Cataloged
ISS061-E-68312	20191207	38.9	10.3			400		Not Cataloged
ISS061-E-68313	20191207	38.7	10.6			400		Not Cataloged
ISS061-E-68314	20191207	37.7	12.0			400		Not Cataloged
ISS061-E-68315	20191207	37.7	12.1			400		Not Cataloged
ISS061-E-68316	20191207	37.6	12.2			400		Not Cataloged
ISS061-E-68317	20191207	37.5	12.4			400		Not Cataloged
ISS061-E-68318	20191207	37.0	13.1			400		Not Cataloged
ISS061-E-68319	20191207	36.9	13.3			400		Not Cataloged
ISS061-E-68320	20191207	36.6	13.7			400		Not Cataloged
ISS061-E-68321	20191207	36.5	13.8			400		Not Cataloged
ISS061-E-68323	20191207	36.4	13.9			400		Not Cataloged
ISS061-E-68324	20191207	36.3	14.1			400		Not Cataloged
ISS061-E-68325	20191207	36.3	14.1			400		Not Cataloged
ISS061-E-68326	20191207	35.4	15.2			400		Not Cataloged
ISS061-E-68327	20191207	35.2	15.5			400		Not Cataloged
ISS061-E-68328	20191207	35.1	15.7			400		Not Cataloged
ISS061-E-68749	20191207	33.1	18.2			78		Not Cataloged
ISS061-E-68750	20191207	32.9	18.4			340		Not Cataloged
ISS061-E-68751	20191207	32.7	18.7			500		Not Cataloged
ISS061-E-68752	20191207	32.6	18.8			500		Not Cataloged
ISS061-E-68753	20191207	32.6	18.9			500		Not Cataloged
ISS061-E-68754	20191207	32.5	19.0			460		Not Cataloged
ISS061-E-68756	20191207	31.8	19.7			340		Not Cataloged
ISS061-E-68757	20191207	31.8	19.8			340		Not Cataloged
ISS061-E-68758	20191207	31.7	19.8			340		Not Cataloged
ISS061-E-68759	20191207	31.7	19.9			340		Not Cataloged
ISS061-E-66509	20191203	49.6	6.0			400		Not Cataloged
ISS061-E-66511	20191203	48.8	9.6			400		Not Cataloged
ISS061-E-66512	20191203	48.7	10.1			400		Not Cataloged
ISS061-E-66513	20191203	48.6	10.3			400		Not Cataloged
ISS061-E-66514	20191203	48.2	12.0			400		Not Cataloged
ISS061-E-66515	20191203	48.1	12.1			400		Not Cataloged
ISS061-E-66516	20191203	48.1	12.3			400		Not Cataloged
ISS061-E-66517	20191203	47.8	13.1			400		Not Cataloged
ISS061-E-66518	20191203	47.8	13.4			400		Not Cataloged
ISS061-E-66519	20191203	47.1	15.4			400		Not Cataloged
ISS061-E-66520	20191203	46.8	16.5			400		Not Cataloged
ISS061-E-66523	20191203	43.3	24.9			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66524	20191203	43.2	25.2			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66525	20191203	43.0	25.6			400		Not Cataloged
ISS061-E-66526	20191203	41.9	27.7			400		Not Cataloged
ISS061-E-66527	20191203	41.8	28.0			400		Not Cataloged
ISS061-E-66528	20191203	41.2	29.1			400		Not Cataloged
ISS061-E-66529	20191203	40.9	29.5			400		Not Cataloged
ISS061-E-66530	20191203	40.5	30.3			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66531	20191203	40.4	30.4			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66532	20191203	40.4	30.5			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66533	20191203	40.0	31.2			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66534	20191203	39.8	31.5			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66535	20191203	39.6	31.7			400		Not Cataloged
ISS061-E-66536	20191203	39.5	31.9			400		Not Cataloged
ISS061-E-66537	20191203	39.4	32.1			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66538	20191203	39.1	32.7			400		Not Cataloged
ISS061-E-66539	20191203	39.0	32.7			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66541	20191203	38.6	33.4			400		Not Cataloged
ISS061-E-66542	20191203	38.4	33.7			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66543	20191203	38.3	33.8			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66544	20191203	37.9	34.5			400		Not Cataloged
ISS061-E-66545	20191203	37.7	34.7			400	ATHENS	Cataloged By Machine Learning
ISS061-E-66547	20191203	36.8	36.1			400		Not Cataloged
ISS061-E-66548	20191203	36.6	36.4			400		Not Cataloged
ISS061-E-66549	20191203	35.7	37.5			400		Not Cataloged
ISS061-E-66551	20191203	33.3	40.6			400		Not Cataloged
ISS061-E-66553	20191203	33.1	40.9			400		Not Cataloged
ISS061-E-66554	20191203	32.8	41.2			400		Not Cataloged
ISS061-E-66555	20191203	32.3	41.9			400		Not Cataloged
ISS061-E-66556	20191203	31.4	42.9			400		Not Cataloged
ISS061-E-66557	20191203	31.3	43.0			400		Not Cataloged
ISS061-E-66558	20191203	29.6	44.8			400		Not Cataloged
ISS061-E-66559	20191203	29.5	44.9			400		Not Cataloged
ISS061-E-61778	20191127	43.7	11.2			28	PAN-	Not Cataloged
ISS061-E-61779	20191127	43.7	11.2			28		Not Cataloged
ISS061-E-61780	20191127	43.6	11.4			28		Not Cataloged
ISS061-E-61781	20191127	43.4	11.7			28		Not Cataloged
ISS061-E-61782	20191127	43.3	11.9			28		Not Cataloged
ISS061-E-61783	20191127	42.1	14.3			28	PAN-	Not Cataloged
ISS061-E-61784	20191127	42.1	14.3			28		Not Cataloged
ISS061-E-61785	20191127	42.1	14.4			28		Not Cataloged
ISS061-E-61786	20191127	42.1	14.4			28		Not Cataloged
ISS061-E-61787	20191127	42.0	14.4			28	PAN-	Not Cataloged
ISS061-E-61788	20191127	42.0	14.4			28		Not Cataloged
ISS061-E-61789	20191127	42.0	14.5			28		Not Cataloged
ISS061-E-61790	20191127	42.0	14.5			28	PAN-	Not Cataloged
ISS061-E-61791	20191127	42.0	14.6			28		Not Cataloged
ISS061-E-61792	20191127	42.0	14.6			28	PAN-	Not Cataloged
ISS061-E-61793	20191127	41.9	14.6			28	PAN-	Not Cataloged
ISS061-E-61794	20191127	41.9	14.6			28	PAN-	Not Cataloged
ISS061-E-61795	20191127	41.9	14.7			28	PAN-	Not Cataloged
ISS061-E-61796	20191127	41.9	14.7			28		Not Cataloged
ISS061-E-61797	20191127	41.9	14.8			28	PAN-	Not Cataloged
ISS061-E-61798	20191127	41.9	14.8			28		Not Cataloged
ISS061-E-61799	20191127	41.8	14.8			28		Not Cataloged
ISS061-E-61800	20191127	41.8	14.8			28	PAN-	Not Cataloged
ISS061-E-61801	20191127	41.8	14.9			28		Not Cataloged
ISS061-E-61802	20191127	41.8	14.9			28		Not Cataloged
ISS061-E-61803	20191127	41.7	15.0			28		Not Cataloged
ISS061-E-61804	20191127	41.7	15.0			28		Not Cataloged
ISS061-E-61805	20191127	41.7	15.1			28		Not Cataloged
ISS061-E-61806	20191127	41.7	15.1			28		Not Cataloged
ISS061-E-61807	20191127	41.7	15.1			28		Not Cataloged
ISS061-E-61808	20191127	41.7	15.1			28		Not Cataloged
ISS061-E-61809	20191127	41.6	15.2			28		Not Cataloged
ISS061-E-61810	20191127	41.6	15.2			28	PAN-	Not Cataloged
ISS061-E-61811	20191127	41.6	15.3			28		Not Cataloged
ISS061-E-61812	20191127	41.6	15.3			28	PAN-	Not Cataloged
ISS061-E-61813	20191127	41.6	15.3			28		Not Cataloged
ISS061-E-61814	20191127	41.6	15.3			28	PAN-	Not Cataloged
ISS061-E-61815	20191127	41.5	15.4			28		Not Cataloged
ISS061-E-61816	20191127	41.5	15.4			28		Not Cataloged
ISS061-E-61817	20191127	41.5	15.5			28	PAN-	Not Cataloged
ISS061-E-61818	20191127	41.5	15.5			28		Not Cataloged
ISS061-E-61819	20191127	41.5	15.5			28		Not Cataloged
ISS061-E-61820	20191127	41.5	15.5			28		Not Cataloged
ISS061-E-61821	20191127	41.4	15.6			28		Not Cataloged
ISS061-E-61822	20191127	41.4	15.6			28		Not Cataloged
ISS061-E-61823	20191127	41.4	15.7			28		Not Cataloged
ISS061-E-61824	20191127	41.4	15.7			28		Not Cataloged
ISS061-E-61825	20191127	41.3	15.7			28	PAN-	Not Cataloged
ISS061-E-61826	20191127	41.3	15.7			28		Not Cataloged
ISS061-E-61827	20191127	41.3	15.8			28		Not Cataloged
ISS061-E-61828	20191127	41.3	15.8			28		Not Cataloged
ISS061-E-61829	20191127	41.3	15.9			28		Not Cataloged
ISS061-E-61830	20191127	41.3	15.9			28	PAN-	Not Cataloged
ISS061-E-61831	20191127	41.2	15.9			28		Not Cataloged
ISS061-E-61832	20191127	41.2	15.9			28		Not Cataloged
ISS061-E-61833	20191127	41.2	16.0			28	PAN-	Not Cataloged
ISS061-E-61834	20191127	41.2	16.0			28		Not Cataloged
ISS061-E-61835	20191127	41.2	16.1			28	PAN-	Not Cataloged
ISS061-E-61836	20191127	41.2	16.1			28		Not Cataloged
ISS061-E-61837	20191127	41.1	16.1			28		Not Cataloged
ISS061-E-61838	20191127	41.1	16.1			28	PAN-	Not Cataloged
ISS061-E-61839	20191127	41.1	16.2			28		Not Cataloged
ISS061-E-61840	20191127	41.1	16.2			28		Not Cataloged
ISS061-E-61841	20191127	41.1	16.3			28		Not Cataloged
ISS061-E-61842	20191127	41.1	16.3			28	PAN-	Not Cataloged
ISS061-E-61843	20191127	41.0	16.3			28	PAN-	Not Cataloged
ISS061-E-61844	20191127	41.0	16.3			28	PAN-	Not Cataloged
ISS061-E-61845	20191127	41.0	16.4			28	PAN-	Not Cataloged
ISS061-E-61846	20191127	41.0	16.4			28		Not Cataloged
ISS061-E-61847	20191127	40.9	16.4			28	PAN-	Not Cataloged
ISS061-E-61848	20191127	40.9	16.4			28	PAN-	Not Cataloged
ISS061-E-61849	20191127	40.9	16.5			28		Not Cataloged
ISS061-E-61850	20191127	40.9	16.5			28	PAN-	Not Cataloged
ISS061-E-61851	20191127	40.9	16.6			28		Not Cataloged
ISS061-E-61852	20191127	40.9	16.6			28	PAN-	Not Cataloged
ISS061-E-61853	20191127	40.8	16.6			28	PAN-	Not Cataloged
ISS061-E-61854	20191127	40.8	16.6			28	PAN-	Not Cataloged
ISS061-E-61855	20191127	40.8	16.7			28	PAN-	Not Cataloged
ISS061-E-61856	20191127	40.8	16.7			28		Not Cataloged
ISS061-E-61857	20191127	40.8	16.8			28	PAN-	Not Cataloged
ISS061-E-61858	20191127	40.8	16.8			28	PAN-	Not Cataloged
ISS061-E-61859	20191127	40.7	16.8			28	PAN-	Not Cataloged
ISS061-E-61860	20191127	40.7	16.8			28	PAN-	Not Cataloged
ISS061-E-61861	20191127	40.7	16.9			28		Not Cataloged
ISS061-E-61862	20191127	40.7	16.9			28	PAN-	Not Cataloged
ISS061-E-61863	20191127	40.6	17.0			28	PAN-	Not Cataloged
ISS061-E-61864	20191127	40.6	17.0			28	PAN-	Not Cataloged
ISS061-E-61865	20191127	40.6	17.0			28		Not Cataloged
ISS061-E-61866	20191127	40.6	17.0			28		Not Cataloged
ISS061-E-61867	20191127	40.6	17.1			28	PAN-	Not Cataloged
ISS061-E-61868	20191127	40.6	17.1			28	PAN-	Not Cataloged
ISS061-E-61869	20191127	40.5	17.2			28	PAN-	Not Cataloged
ISS061-E-61870	20191127	40.5	17.2			28	PAN-	Not Cataloged
ISS061-E-61871	20191127	40.5	17.2			28		Not Cataloged
ISS061-E-61872	20191127	40.5	17.2			28	PAN-	Not Cataloged
ISS061-E-61873	20191127	40.5	17.3			28	PAN-	Not Cataloged
ISS061-E-61874	20191127	40.5	17.3			28	PAN-	Not Cataloged
ISS061-E-61875	20191127	40.4	17.4			28	PAN-	Not Cataloged
ISS061-E-61876	20191127	40.4	17.4			28		Not Cataloged
ISS061-E-61877	20191127	40.4	17.4			28	PAN-	Not Cataloged
ISS061-E-61878	20191127	40.4	17.4			28		Not Cataloged
ISS061-E-61879	20191127	40.3	17.5			28	PAN-	Not Cataloged
ISS061-E-61880	20191127	40.3	17.5			28	PAN-	Not Cataloged
ISS061-E-61881	20191127	40.3	17.6			28		Not Cataloged
ISS061-E-61882	20191127	40.3	17.6			28		Not Cataloged
ISS061-E-61883	20191127	40.3	17.6			28	PAN-	Not Cataloged
ISS061-E-61884	20191127	40.3	17.6			28	PAN-	Not Cataloged
